dataset,filename,f1,recall,precission,NOsize,Wsize,NIsize,Beta,TS,sim,mod,C,ksi,epsilon
artificialNoAnomaly,artificialNoAnomaly_art_daily_no_noise,0.0,0.0,0.0,,,,,,,,,,
artificialNoAnomaly,artificialNoAnomaly_art_daily_perfect_square_wave,0.0,0.0,0.0,,,,,,,,,,
artificialNoAnomaly,artificialNoAnomaly_art_daily_small_noise,0.0,0.0,0.0,,,,,,,,,,
artificialNoAnomaly,artificialNoAnomaly_art_flatline,0.0,0.0,0.0,,,,,,,,,,
artificialNoAnomaly,artificialNoAnomaly_art_noisy,0.0,0.0,0.0,,,,,,,,,,
artificialWithAnomaly,artificialWithAnomaly_art_daily_flatmiddle,0.33280000000000004,0.7741935483870968,0.21195652173913043,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,2
artificialWithAnomaly,artificialWithAnomaly_art_daily_jumpsdown,0.34980988593155893,0.228287841191067,0.7479674796747967,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,6
artificialWithAnomaly,artificialWithAnomaly_art_daily_jumpsup,0.4132841328413284,0.27791563275434245,0.8057553956834532,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,6
artificialWithAnomaly,artificialWithAnomaly_art_daily_nojump,0.22891566265060243,0.141439205955335,0.6,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,6
artificialWithAnomaly,artificialWithAnomaly_art_increase_spike_density,0.5159867695700111,0.5806451612903226,0.4642857142857143,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
artificialWithAnomaly,artificialWithAnomaly_art_load_balancer_spikes,0.4979166666666667,0.5930521091811415,0.42908438061041293,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,5
realAdExchange,realAdExchange_exchange-2_cpc_results,0.031578947368421054,0.05521472392638037,0.022113022113022112,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAdExchange,realAdExchange_exchange-2_cpm_results,0.17316017316017315,0.37037037037037035,0.11299435028248588,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAdExchange,realAdExchange_exchange-3_cpc_results,0.2013888888888889,0.1895424836601307,0.21481481481481482,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,3
realAdExchange,realAdExchange_exchange-3_cpm_results,0.2971014492753623,0.5359477124183006,0.20551378446115287,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAdExchange,realAdExchange_exchange-4_cpc_results,0.24550898203592816,0.24848484848484848,0.24260355029585798,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,3
realAdExchange,realAdExchange_exchange-4_cpm_results,0.23234624145785876,0.31097560975609756,0.18545454545454546,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_24ae8d,0.30994152046783624,0.263681592039801,0.375886524822695,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_53ea38,0.21269841269841272,0.3333333333333333,0.1561771561771562,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_5f5533,0.38979963570127507,0.26616915422885573,0.7278911564625851,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,3
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_77c1ca,0.22774327122153212,0.2729528535980149,0.19538188277087035,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,5
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_825cc2,0.5239726027397261,0.446064139941691,0.6348547717842323,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,3
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_ac20cd,0.4581497797356829,0.5161290322580645,0.41188118811881186,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,4
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_c6585a,0.0,0.0,0.0,,,,,,,,,,
realAWSCloudwatch,realAWSCloudwatch_ec2_cpu_utilization_fe7f93,0.2661955241460542,0.27901234567901234,0.2545045045045045,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,4
realAWSCloudwatch,realAWSCloudwatch_ec2_disk_write_bytes_1ef3de,0.2733423545331529,0.427061310782241,0.2009950248756219,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,4
realAWSCloudwatch,realAWSCloudwatch_ec2_disk_write_bytes_c0d644,0.38466898954703826,0.6814814814814815,0.26796116504854367,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAWSCloudwatch,realAWSCloudwatch_ec2_network_in_257a54,0.14533965244865718,0.1141439205955335,0.2,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAWSCloudwatch,realAWSCloudwatch_ec2_network_in_5abac7,0.29497299542999583,0.7489451476793249,0.18365235385411277,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,3
realAWSCloudwatch,realAWSCloudwatch_elb_request_count_8c0756,0.16129032258064516,0.22388059701492538,0.12605042016806722,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,2
realAWSCloudwatch,realAWSCloudwatch_grok_asg_anomaly,0.4381161007667032,0.43010752688172044,0.44642857142857145,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,6
realAWSCloudwatch,realAWSCloudwatch_iio_us-east-1_i-a2eb1cd9_NetworkIn,0.48062015503875966,0.49206349206349204,0.4696969696969697,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,4
realAWSCloudwatch,realAWSCloudwatch_rds_cpu_utilization_cc0c53,0.44370860927152317,0.5,0.39880952380952384,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,6
realAWSCloudwatch,realAWSCloudwatch_rds_cpu_utilization_e47b3b,0.5726495726495727,0.5,0.67,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,5
realKnownCause,realKnownCause_ambient_temperature_system_failure,0.3136986301369863,0.6308539944903582,0.20875113947128532,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,2
realKnownCause,realKnownCause_cpu_utilization_asg_misconfiguration,0.3148809523809524,0.7062750333778371,0.20260436614324015,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,3
realKnownCause,realKnownCause_ec2_request_latency_system_failure,0.18596059113300492,0.43768115942028984,0.11806098514464425,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
realKnownCause,realKnownCause_machine_temperature_system_failure,0.44564990611308153,0.4708994708994709,0.42297029702970296,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,3
realKnownCause,realKnownCause_nyc_taxi,0.21150684931506852,0.5594202898550724,0.1304054054054054,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,2
realKnownCause,realKnownCause_rogue_agent_key_hold,0.23529411764705882,0.15789473684210525,0.46153846153846156,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,6
realKnownCause,realKnownCause_rogue_agent_key_updown,0.32844932844932845,0.5075471698113208,0.2427797833935018,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,3
realTraffic,realTraffic_occupancy_6005,0.17165668662674652,0.1799163179916318,0.16412213740458015,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTraffic,realTraffic_occupancy_t4013,0.3385146804835924,0.392,0.2978723404255319,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTraffic,realTraffic_speed_6005,0.2568421052631579,0.25630252100840334,0.25738396624472576,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTraffic,realTraffic_speed_7578,0.41420118343195267,0.3017241379310345,0.660377358490566,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,4
realTraffic,realTraffic_speed_t4013,0.3252336448598131,0.348,0.30526315789473685,50,500,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTraffic,realTraffic_TravelTime_387,0.27423167848699764,0.23293172690763053,0.3333333333333333,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,4
realTraffic,realTraffic_TravelTime_451,0.2384105960264901,0.2488479262672811,0.2288135593220339,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,3
realTweets,realTweets_Twitter_volume_AAPL,0.3862837045720985,0.4149874055415617,0.3612938596491228,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,3
realTweets,realTweets_Twitter_volume_AMZN,0.20269344898425018,0.2810126582278481,0.1585148161370939,50,300,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTweets,realTweets_Twitter_volume_CRM,0.2769830949284785,0.2674199623352166,0.2872555630478759,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,3
realTweets,realTweets_Twitter_volume_CVS,0.25526572743757847,0.5996068152031455,0.1621477937267411,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTweets,realTweets_Twitter_volume_FB,0.17015437392795882,0.31352718078381797,0.1167608286252354,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTweets,realTweets_Twitter_volume_GOOG,0.23664270448805128,0.42527932960893855,0.1639300134589502,50,200,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTweets,realTweets_Twitter_volume_IBM,0.1854862993074375,0.19371069182389938,0.1779318313113807,50,400,10,1.6,1000,0.15,0.6,0.6,0.9,3
realTweets,realTweets_Twitter_volume_KO,0.20956009698649114,0.3812224322621298,0.14449486505851444,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
realTweets,realTweets_Twitter_volume_PFE,0.298066783831283,0.5340050377833753,0.2067284251584593,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,3
realTweets,realTweets_Twitter_volume_UPS,0.27215608465608465,0.5192429022082019,0.18440510867129734,50,100,10,1.6,1000,0.15,0.6,0.6,0.9,2
