dataset,filename,f1,recall,precission,NOsize,Wsize,NIsize,Beta,TS,sim,mod,C,ksi,epsilon
A1Benchmark,real_1,0.4444444444444445,1.0,0.2857142857142857,50,200,10,1.6,1000,0.15,0.6,0.8,0.9,8
A1Benchmark,real_10,0.888888888888889,1.0,0.8,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_11,0.9500000000000001,1.0,0.9047619047619048,50,300,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_12,0.5454545454545454,1.0,0.375,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_13,0.5217391304347826,0.5,0.5454545454545454,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_14,0.5714285714285715,1.0,0.4,50,300,10,1.6,1000,0.15,0.6,0.8,0.9,13
A1Benchmark,real_15,0.5,0.5,0.5,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_16,0.6666666666666666,1.0,0.5,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_17,0.9191685912240185,0.8805309734513275,0.961352657004831,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_18,0.36363636363636365,0.6666666666666666,0.25,50,200,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_19,0.780361757105943,0.668141592920354,0.937888198757764,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_2,0.7741935483870969,0.8,0.75,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_20,0.1,0.06060606060606061,0.2857142857142857,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_21,0.7499999999999999,1.0,0.6,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_22,0.96875,1.0,0.9393939393939394,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,8
A1Benchmark,real_23,0.75,0.9473684210526315,0.6206896551724138,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_24,0.8333333333333333,1.0,0.7142857142857143,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_25,0.9438202247191011,1.0,0.8936170212765957,50,200,10,1.6,1000,0.15,0.6,0.8,0.9,15
A1Benchmark,real_26,0.08602150537634408,0.05333333333333334,0.2222222222222222,50,200,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_27,0.4444444444444445,1.0,0.2857142857142857,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_28,0.04444444444444444,0.024390243902439025,0.25,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_29,0.5555555555555556,0.7142857142857143,0.45454545454545453,50,200,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_3,0.8750000000000001,1.0,0.7777777777777778,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_30,0.7499999999999999,1.0,0.6,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_31,0.5609756097560975,0.9583333333333334,0.39655172413793105,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,8
A1Benchmark,real_32,0.5562130177514792,1.0,0.38524590163934425,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,16
A1Benchmark,real_33,0.5714285714285715,1.0,0.4,50,250,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_34,0.7058823529411764,0.8571428571428571,0.6,50,300,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_35,0.0,0.0,0.0,,,,,,,,,,
A1Benchmark,real_36,0.7692307692307693,1.0,0.625,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,13
A1Benchmark,real_37,0.2222222222222222,0.9705882352941176,0.12547528517110265,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,7
A1Benchmark,real_38,0.3,0.3333333333333333,0.2727272727272727,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_39,0.608695652173913,0.7,0.5384615384615384,50,250,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_4,0.45454545454545453,1.0,0.29411764705882354,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,15
A1Benchmark,real_40,0.08247422680412371,0.05,0.23529411764705882,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_41,0.4615384615384615,1.0,0.3,50,200,10,1.6,1000,0.15,0.6,0.8,0.9,15
A1Benchmark,real_42,0.865979381443299,0.9545454545454546,0.7924528301886793,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,9
A1Benchmark,real_43,0.37209302325581395,0.25,0.7272727272727273,50,100,10,1.6,1000,0.15,0.6,0.8,0.9,8
A1Benchmark,real_44,0.6666666666666666,0.7777777777777778,0.5833333333333334,50,150,10,1.6,1000,0.15,0.6,0.8,0.9,6
A1Benchmark,real_45,0.33333333333333337,1.0,0.2,50,250,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_46,0.2835820895522388,0.1743119266055046,0.76,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_47,0.33333333333333326,0.3,0.375,50,50,10,1.6,1000,0.15,0.6,0.8,0.9,5
A1Benchmark,real_48,0.06666666666666667,0.041666666666666664,0.16666666666666666,50,350,10,1.6,1000,0.15,0.6,0.8,0.9,13
