"dataset","model","F1","k","u","c","b"
"artificialNoAnomaly",0,0,0,0,0,0
"artificialNoAnomaly",0,0,0,0,0,0
"artificialNoAnomaly",0,0,0,0,0,0
"artificialNoAnomaly",0,0,0,0,0,0
"artificialNoAnomaly",0,0,0,0,0,0
"artificialWithAnomaly",1,0.117551020408163,1,0,0,4
"artificialWithAnomaly",1,0.181777176364456,1,0,0,0
"artificialWithAnomaly",1,0.181777176364456,1,0,0,0
"artificialWithAnomaly",1,0.183050847457627,15,0,1,0
"artificialWithAnomaly",2,0.08,14,1,0,0
"artificialWithAnomaly",1,0.27177033492823,1,0,0,0
"realAWSCloudwatch",1,0.178856973645247,1,0,0,0
"realAWSCloudwatch",1,0.180526918671249,1,0,0,0
"realAWSCloudwatch",1,0.200518582541054,1,0,0,3
"realAWSCloudwatch",1,0.192495921696574,1,0,0,1
"realAWSCloudwatch",2,0.156371490280778,20,1,0,0
"realAWSCloudwatch",1,0.181818181818182,1,0,0,0
"realAWSCloudwatch",0,0,0,0,0,0
"realAWSCloudwatch",1,0.182269343559666,1,0,0,0
"realAWSCloudwatch",2,0.15881809787627,13,1,0,0
"realAWSCloudwatch",1,0.21551724137931,1,0,0,0
"realAWSCloudwatch",1,0.181818181818182,1,0,0,11
"realAWSCloudwatch",2,0.21011673151751,2,1,0,50
"realAWSCloudwatch",1,0.182285580743164,1,0,0,1
"realAWSCloudwatch",1,0.226468506723284,1,0,0,2
"realAWSCloudwatch",1,0.184210526315789,1,0,0,0
"realAWSCloudwatch",1,0.357142857142857,1,0,0,1
"realAWSCloudwatch",1,0.177819372952737,1,0,0,0
"realAdExchange",1,0.19047619047619,4,0,3,0
"realAdExchange",1,0.182113821138211,3,0,1,0
"realAdExchange",1,0.181065088757396,1,0,0,0
"realAdExchange",1,0.181065088757396,1,0,0,0
"realAdExchange",1,0.181717451523546,1,0,0,0
"realAdExchange",1,0.180709534368071,1,0,0,0
"realKnownCause",1,0.181681681681682,1,0,0,0
"realKnownCause",1,0.228571428571429,1,0,0,4
"realKnownCause",1,0.162486368593239,2,0,3,0
"realKnownCause",1,0.181716208637128,1,0,0,0
"realKnownCause",1,0.18516754009846,20,0,1,0
"realKnownCause",1,0.102564102564103,19,1,0,0
"realKnownCause",2,0.0913978494623656,15,1,0,0
"realTraffic",1,0.243460764587525,1,0,0,50
"realTraffic",1,0.183092422251424,1,0,0,1
"realTraffic",1,0.185165702261967,3,0,1,0
"realTraffic",1,0.189834660134721,1,0,0,2
"realTraffic",1,0.173481085212075,1,0,0,0
"realTraffic",1,0.288770053475936,1,0,0,11
"realTraffic",1,0.184778184778185,1,0,0,0
"realTweets",1,0.238679644519678,1,0,0,25
"realTweets",1,0.178258823529412,1,0,0,7
"realTweets",1,0.207092819614711,1,0,0,3
"realTweets",2,0.145634379263301,9,1,0,0
"realTweets",1,0.18109756097561,1,0,0,0
"realTweets",1,0.165758039816233,1,0,0,0
"realTweets",1,0.188711516533637,1,0,0,1
"realTweets",1,0.181330003122073,1,0,0,0
"realTweets",1,0.19607460208964,1,0,0,0
"realTweets",1,0.184867821330902,1,0,0,2
