"dataset","model","F1","k","u","c","b"
"A1Benchmark\real_1.csv",1,0.037037037037037,17,1,2,0
"A1Benchmark\real_10.csv",1,0.125,3,0,42,0
"A1Benchmark\real_11.csv",2,0.457142857142857,6,0,2,50
"A1Benchmark\real_12.csv",1,0.666666666666667,13,0,2,43
"A1Benchmark\real_13.csv",1,0.2,16,1,2,38
"A1Benchmark\real_14.csv",1,0.04,17,1,2,50
"A1Benchmark\real_15.csv",1,0.181818181818182,20,0,4,33
"A1Benchmark\real_16.csv",1,1,2,0,1,4
"A1Benchmark\real_17.csv",1,0.314847942754919,3,0,2,49
"A1Benchmark\real_18.csv",2,0.00934579439252337,19,1,1,0
"A1Benchmark\real_19.csv",1,0.607547169811321,1,0,0,16
"A1Benchmark\real_2.csv",2,0.148148148148148,4,0,2,45
"A1Benchmark\real_20.csv",1,0.111111111111111,1,0,0,1
"A1Benchmark\real_21.csv",1,0.666666666666667,3,1,1,19
"A1Benchmark\real_22.csv",1,0.208695652173913,3,1,1,50
"A1Benchmark\real_23.csv",2,0.127659574468085,15,1,2,0
"A1Benchmark\real_24.csv",2,0.222222222222222,2,1,0,5
"A1Benchmark\real_25.csv",1,0.783783783783784,1,0,0,28
"A1Benchmark\real_26.csv",1,0.190476190476191,2,0,47,0
"A1Benchmark\real_27.csv",2,0.153846153846154,4,1,1,50
"A1Benchmark\real_28.csv",2,0.123376623376623,4,1,1,0
"A1Benchmark\real_29.csv",2,0.266666666666667,14,1,2,0
"A1Benchmark\real_3.csv",1,0.666666666666667,1,0,0,1
"A1Benchmark\real_30.csv",2,0.285714285714286,5,0,5,0
"A1Benchmark\real_31.csv",1,0.258064516129032,3,0,2,48
"A1Benchmark\real_32.csv",1,0.0666666666666667,12,1,2,0
"A1Benchmark\real_33.csv",1,0.5,12,0,2,41
"A1Benchmark\real_34.csv",2,0.25,20,1,3,0
"A1Benchmark\real_35.csv",0,0,0,0,0,0
"A1Benchmark\real_36.csv",2,0.75,2,1,0,1
"A1Benchmark\real_37.csv",1,0.130612244897959,11,0,1,3
"A1Benchmark\real_38.csv",2,0.214285714285714,18,1,2,0
"A1Benchmark\real_39.csv",1,0.307692307692308,20,1,3,0
"A1Benchmark\real_4.csv",1,0.4,7,0,2,50
"A1Benchmark\real_40.csv",1,0.186440677966102,2,0,50,0
"A1Benchmark\real_41.csv",1,0.4,4,1,1,46
"A1Benchmark\real_42.csv",1,0.739130434782609,1,0,0,44
"A1Benchmark\real_43.csv",1,0.0606060606060606,1,0,0,1
"A1Benchmark\real_44.csv",1,0.0606060606060606,18,1,2,38
"A1Benchmark\real_45.csv",1,0.666666666666667,8,0,2,38
"A1Benchmark\real_46.csv",2,0.152249134948097,5,1,1,0
"A1Benchmark\real_47.csv",2,0.235294117647059,16,0,2,43
"A1Benchmark\real_48.csv",2,0.0740740740740741,7,1,2,1
"A1Benchmark\real_49.csv",2,0.00934579439252337,19,1,1,0
"A1Benchmark\real_5.csv",1,0.181818181818182,19,1,3,0
"A1Benchmark\real_50.csv",1,0.285714285714286,9,0,4,50
"A1Benchmark\real_51.csv",2,0.5,16,1,2,46
"A1Benchmark\real_52.csv",2,0.307692307692308,19,1,3,0
"A1Benchmark\real_53.csv",2,0.210526315789474,2,1,0,5
"A1Benchmark\real_54.csv",2,0.666666666666667,2,1,0,3
"A1Benchmark\real_55.csv",2,0.545454545454545,19,1,2,37
"A1Benchmark\real_56.csv",2,0.146341463414634,15,1,2,0
"A1Benchmark\real_57.csv",2,0.0555555555555556,12,1,2,45
"A1Benchmark\real_58.csv",1,0.753623188405797,1,0,0,24
"A1Benchmark\real_59.csv",0,0,0,0,0,0
"A1Benchmark\real_6.csv",1,0.444444444444444,3,0,1,48
"A1Benchmark\real_60.csv",1,0.518518518518518,1,0,0,1
"A1Benchmark\real_61.csv",1,0.166666666666667,3,0,5,10
"A1Benchmark\real_62.csv",1,0.714285714285714,14,1,0,1
"A1Benchmark\real_63.csv",1,0.0555555555555556,2,0,7,2
"A1Benchmark\real_64.csv",0,0,0,0,0,0
"A1Benchmark\real_65.csv",1,0.13953488372093,3,0,10,33
"A1Benchmark\real_66.csv",1,0.484848484848485,8,0,2,25
"A1Benchmark\real_67.csv",1,0.54054054054054,5,0,2,49
"A1Benchmark\real_7.csv",2,0.20627802690583,20,1,0,28
"A1Benchmark\real_8.csv",1,0.307692307692308,3,1,1,38
"A1Benchmark\real_9.csv",1,0.222222222222222,2,0,1,1
"A2Benchmark\synthetic_1.csv",1,0.5,3,0,1,47
"A2Benchmark\synthetic_10.csv",1,0.5,3,1,1,35
"A2Benchmark\synthetic_100.csv",1,0.125,12,1,2,50
"A2Benchmark\synthetic_11.csv",1,0.428571428571429,11,1,2,48
"A2Benchmark\synthetic_12.csv",1,0.222222222222222,11,1,2,48
"A2Benchmark\synthetic_13.csv",1,0.5,3,1,1,47
"A2Benchmark\synthetic_14.csv",1,0.4,3,1,1,43
"A2Benchmark\synthetic_15.csv",1,0.181818181818182,11,1,2,39
"A2Benchmark\synthetic_16.csv",1,0.5,3,1,1,45
"A2Benchmark\synthetic_17.csv",1,0.375,3,1,1,48
"A2Benchmark\synthetic_18.csv",1,0.166666666666667,11,1,2,50
"A2Benchmark\synthetic_19.csv",1,0.4,3,1,1,49
"A2Benchmark\synthetic_2.csv",1,0.5,7,0,2,49
"A2Benchmark\synthetic_20.csv",1,0.333333333333333,3,1,1,50
"A2Benchmark\synthetic_21.csv",1,0.111111111111111,11,1,2,46
"A2Benchmark\synthetic_22.csv",1,0.4,3,1,1,49
"A2Benchmark\synthetic_23.csv",1,0.3,3,1,1,49
"A2Benchmark\synthetic_24.csv",1,0.0606060606060606,20,1,2,49
"A2Benchmark\synthetic_25.csv",1,0.266666666666667,3,1,1,50
"A2Benchmark\synthetic_26.csv",1,0.25,3,1,1,50
"A2Benchmark\synthetic_27.csv",1,0.105263157894737,11,1,2,47
"A2Benchmark\synthetic_28.csv",1,0.235294117647059,3,1,1,50
"A2Benchmark\synthetic_29.csv",1,0.24,12,1,2,49
"A2Benchmark\synthetic_3.csv",1,1,16,0,3,46
"A2Benchmark\synthetic_30.csv",1,0.08,11,1,2,50
"A2Benchmark\synthetic_31.csv",1,0.166666666666667,3,1,1,50
"A2Benchmark\synthetic_32.csv",1,0.1875,3,1,1,49
"A2Benchmark\synthetic_33.csv",1,0.0909090909090909,11,1,2,47
"A2Benchmark\synthetic_34.csv",1,0.121212121212121,3,1,1,50
"A2Benchmark\synthetic_35.csv",1,0.193548387096774,11,1,2,49
"A2Benchmark\synthetic_36.csv",1,0.0240963855421687,17,0,3,49
"A2Benchmark\synthetic_37.csv",1,0.153846153846154,12,1,2,49
"A2Benchmark\synthetic_38.csv",1,0.181818181818182,20,1,3,17
"A2Benchmark\synthetic_39.csv",1,0.0769230769230769,11,1,2,48
"A2Benchmark\synthetic_4.csv",1,0.5,3,1,1,16
"A2Benchmark\synthetic_40.csv",1,0.0952380952380952,16,1,2,48
"A2Benchmark\synthetic_41.csv",1,0.181818181818182,20,1,3,0
"A2Benchmark\synthetic_42.csv",1,0.08,11,1,2,50
